,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Gender,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,-1.2774445836787653,-1.1603229160349193,-0.9926105235902256,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,0,0.0663274190822361,-0.2596289419448806,-0.17216470898960828,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,0,-1.236724219958735,-0.3626603559551801,-0.9580659010627457,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
3,0,0.51425142000257,-0.7465354629935549,-0.19367237627204323,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
4,0,-1.236724219958735,0.19736523310080323,-0.9388744441030346,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
5,0,-0.992402037638553,1.1595456961969888,-0.6437892489880275,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
6,0,-0.42231694555812815,0.8089065291619365,-0.14573785216462665,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
7,0,-0.9109613101984922,-1.1636465100352518,-0.8725867105812736,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
8,0,-0.17799476323794608,1.3307107872140993,0.3380853955334709,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
9,0,1.2064976032430856,-0.28621769394753865,0.5330441272690194,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10,0,-0.7888002190384013,-0.49228052196813776,-0.7466069281710316,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
11,0,-0.6666391278783101,-1.5225946620711344,-0.8616012559077837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
12,0,1.0436161483629642,1.182810854199314,1.5006244452274229,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
13,0,0.6771328748826911,1.2941512532104449,1.2161496993050833,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0
14,0,-0.30015585439803705,1.353975945216425,0.17925954483241308,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
15,0,1.491540149283298,1.6115544802421744,2.4774254861848592,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0
16,0,0.7992939660427824,-1.4660935640654862,-0.554471767114613,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
17,0,1.572980876723359,1.3938590732204124,2.251142767227713,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
18,0,-0.9109613101984922,-0.31779183695069485,-0.772680838661122,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
19,0,-0.4630373092781585,0.8404806721650927,-0.18390017462474198,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
20,1,-1.2774445836787653,-0.8346107040023593,-0.988286930987808,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
21,0,-0.8295205827584314,-1.4943441130683102,-0.9165505884211635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
